Reference mirror R1,roc1 (mm),R1 780nm (%),R1 390nm (%),Reference mirror R2,roc2 (mm),R2 780nm (%),R2 390nm (%),Finesse 780nm,Finesse 390nm,w0<40,L_(w0<40),w0<60,L_(w0<60)
R2 roc150,150,99.96,,Metallic unknown,inf,99.42,65.81,1010.65,,"[39.949, 7.993]","[163.204, 163.480]","[59.991, 7.993]","[162.066, 163.480]"
R2 roc150,150,99.96,,Metallic unknown (metal side),inf,96.7,57.64,185.03,,"[39.949, 7.993]","[163.204, 163.480]","[59.991, 7.993]","[162.066, 163.480]"
R1 roc100,100,95.27,,Metallic unknown,inf,99.42,65.81,115.77,,"[39.965, 9.536]","[113.065, 113.479]","[59.999, 9.536]","[111.332, 113.479]"
R1 roc100,100,95.27,,Metallic unknown (metal side),inf,96.7,57.64,76.61,,"[39.965, 9.536]","[113.065, 113.479]","[59.999, 9.536]","[111.332, 113.479]"
R2 roc150,150,99.96,,C254 curved 100,100.0,89.82,77.94,58.3,,"[39.836, 14.434]; [14.126, 39.823]; [39.992, 8.417]","[104.356, 104.491]; [154.496, 154.631]; [253.800, 254.493]","[59.956, 14.434]; [14.126, 59.952]; [59.995, 8.417]","[[103.762, 104.491]; [154.496, 155.225]; [250.932, 254.493]"
R1 roc100,100,95.27,,C254 curved 100,100.0,89.82,77.94,40.31,,"[40, 20.47]","[203.6, 204.47]","[60, 20.47]","[200.21, 204.47]"
R2 roc150,150,99.96,,Laser optik,inf,12.54,34.0,2.89,,"[39.949, 7.993]","[163.204, 163.480]","[59.991, 7.993]","[162.066, 163.480]"
R1 roc100,100,95.27,,Laser optik,inf,12.54,34.0,2.82,,"[39.965, 9.536]","[113.065, 113.479]","[59.999, 9.536]","[111.332, 113.479]"
R2 roc150,150,99.96,,eq15b_flat_HR426_1inch_face2,inf,11.39,,2.75,,"[39.949, 7.993]","[163.204, 163.480]","[59.991, 7.993]","[162.066, 163.480]"
R1 roc100,100,95.27,,eq15b_flat_HR426_1inch_face2,inf,11.39,,2.69,,"[39.965, 9.536]","[113.065, 113.479]","[59.999, 9.536]","[111.332, 113.479]"
R2 roc150,150,99.96,,eq15b_curved_roc100_HR426,100.0,9.94,,2.58,,"[39.836, 14.434]; [14.126, 39.823]; [39.992, 8.417]","[104.356, 104.491]; [154.496, 154.631]; [253.800, 254.493]","[59.956, 14.434]; [14.126, 59.952]; [59.995, 8.417]","[[103.762, 104.491]; [154.496, 155.225]; [250.932, 254.493]"
R1 roc100,100,95.27,,eq15b_curved_roc100_HR426,100.0,9.94,,2.52,,"[40, 20.47]","[203.6, 204.47]","[60, 20.47]","[200.21, 204.47]"
R2 roc150,150,99.96,,eq15b_flat_HR426_1inch,inf,7.41,,2.25,,"[39.949, 7.993]","[163.204, 163.480]","[59.991, 7.993]","[162.066, 163.480]"
R1 roc100,100,95.27,,eq15b_flat_HR426_1inch,inf,7.41,,2.21,,"[39.965, 9.536]","[113.065, 113.479]","[59.999, 9.536]","[111.332, 113.479]"
R2 roc150,150,99.96,,eq15b_HR_HR_1inch,inf,3.07,,1.59,,"[39.949, 7.993]","[163.204, 163.480]","[59.991, 7.993]","[162.066, 163.480]"
R1 roc100,100,95.27,,eq15b_HR_HR_1inch,inf,3.07,,1.57,,"[39.965, 9.536]","[113.065, 113.479]","[59.999, 9.536]","[111.332, 113.479]"
R2 roc150,150,99.96,,eq15b_flat_HR426_half_inch,inf,2.85,,1.55,,"[39.949, 7.993]","[163.204, 163.480]","[59.991, 7.993]","[162.066, 163.480]"
R1 roc100,100,95.27,,eq15b_flat_HR426_half_inch,inf,2.85,,1.53,,"[39.965, 9.536]","[113.065, 113.479]","[59.999, 9.536]","[111.332, 113.479]"
